Title,Rating,Year,Genre,Director
Witness for the Prosecution,8.4,1957,,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
Eirian 2,8.3,1986,,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
Spider-Man: Into the Spider-Verse,8.3,2018,,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
American Beauty,8.3,1999,,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
Hakase no ijô na aijô: Matawa watashi wa ikani shite shinpai suru no wo yamete suibaku wo aisuru you ni natta ka,8.3,1964,,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
Dâku naito raijingu,8.3,2012,,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
Inglourious Basterds,8.3,2009,,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
Oldeuboi,8.3,2003,,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
Amadeus,8.3,1984,,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
Coco,8.3,2017,,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
Toy Story,8.3,1995,,"John Lasseter (dir.), Tom Hanks, Tim Allen"
Braveheart,8.3,1995,,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
Joker,8.3,2019,,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
U-Bôto,8.3,1981,,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
Avengers: Endgame,8.3,2019,,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
Mononoke-hime,8.3,1997,,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
Good Will Hunting,8.3,1997,,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
Once Upon a Time in America,8.3,1984,,"Sergio Leone (dir.), Robert De Niro, James Woods"
Kimi no na wa.,8.3,2016,,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
Ame ni utaeba,8.3,1952,,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
3 Idiots,8.3,2009,,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
Requiem for a Dream,8.3,2000,,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
Tengoku to jigoku,8.3,1963,,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
Toi Sutôrî 3,8.3,2010,,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
Sonzai no nai kodomo-tachi,8.3,2018,,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
Sutâ wôzu/Jedai no fukushuu,8.3,1983,,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
2001 nen: Uchuu no Tabi,8.3,1968,,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
